"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c320f30d2e32",,,,"User:","root"
"Cmdline:","dstat --time --cpu --mem --io --net --tcp --output /data/metrics/hadoop/soc-LiveJournal1/indegree.dstat.csv 1",,,,"Date:","30 Oct 2025 08:45:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"net/total",,"tcp sockets",,,,
30-10 08:47:32,10.025,0.376,89.348,0.0,0.0,0.251,2849636352.0,13107200.0,949710848.0,6457520128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:33,13.483,0.624,85.393,0.0,0.0,0.499,2849636352.0,13107200.0,949710848.0,6457520128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:34,12.438,0.373,86.940,0.0,0.0,0.249,2849595392.0,13107200.0,949981184.0,6457290752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:35,11.553,0.994,86.584,0.0,0.0,0.870,2851807232.0,13107200.0,981032960.0,6424027136.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:36,7.663,1.131,90.578,0.0,0.0,0.628,2851659776.0,13107200.0,981180416.0,6424027136.0,0.0,89.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:37,4.619,1.248,93.508,0.499,0.0,0.125,2851659776.0,13115392.0,981172224.0,6424027136.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:38,6.918,2.390,89.937,0.0,0.0,0.755,2853453824.0,13115392.0,981172224.0,6422233088.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:39,4.489,1.122,94.264,0.0,0.0,0.125,2853453824.0,13115392.0,981172224.0,6422233088.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:40,4.906,0.629,94.465,0.0,0.0,0.0,2853453824.0,13115392.0,981172224.0,6422233088.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:41,6.500,1.375,91.500,0.0,0.0,0.625,2853711872.0,13115392.0,981172224.0,6421975040.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:42,9.750,0.375,89.375,0.0,0.0,0.500,2853711872.0,13115392.0,981172224.0,6421975040.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:43,13.375,0.750,84.500,0.500,0.0,0.875,2854227968.0,13123584.0,981164032.0,6421458944.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:44,12.625,0.250,86.875,0.0,0.0,0.250,2854227968.0,13123584.0,981164032.0,6421458944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:45,11.471,1.247,87.032,0.0,0.0,0.249,2855284736.0,13123584.0,1012363264.0,6389202944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:46,7.760,1.126,90.613,0.0,0.0,0.501,2855280640.0,13123584.0,1012367360.0,6389202944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:47,4.020,0.879,94.975,0.0,0.0,0.126,2855280640.0,13123584.0,1012367360.0,6389202944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:48,4.141,1.380,94.354,0.0,0.0,0.125,2855280640.0,13123584.0,1012367360.0,6389202944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:49,4.534,1.134,94.332,0.0,0.0,0.0,2855280640.0,13123584.0,1012367360.0,6389202944.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:50,3.899,1.509,93.836,0.503,0.0,0.252,2855280640.0,13131776.0,1012359168.0,6389202944.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:51,7.885,2.879,87.484,0.626,0.0,1.126,2849460224.0,13135872.0,1012375552.0,6395002880.0,1.0,76.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:47:52,11.582,0.374,87.547,0.0,0.0,0.498,2849714176.0,13135872.0,1012379648.0,6394744832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:47:53,13.450,0.498,85.056,0.0,0.0,0.996,2850512896.0,13135872.0,1012379648.0,6393946112.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:54,12.531,0.251,87.218,0.0,0.0,0.0,2850512896.0,13135872.0,1012379648.0,6393946112.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:55,13.858,1.248,84.644,0.0,0.0,0.250,2850861056.0,13135872.0,1043255296.0,6362722304.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:56,4.738,1.122,93.516,0.499,0.0,0.125,2851119104.0,13148160.0,1043243008.0,6362464256.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:57,4.483,1.245,93.898,0.0,0.0,0.374,2851119104.0,13148160.0,1043243008.0,6362464256.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:58,4.130,1.001,94.618,0.0,0.0,0.250,2851119104.0,13148160.0,1043243008.0,6362464256.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:59,5.375,0.750,93.500,0.0,0.0,0.375,2851119104.0,13148160.0,1043243008.0,6362464256.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:00,4.654,0.503,94.465,0.0,0.0,0.377,2851115008.0,13148160.0,1043247104.0,6362464256.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:01,5.668,2.267,90.932,0.756,0.0,0.378,2851115008.0,13152256.0,1043243008.0,6362464256.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:02,12.453,0.249,86.675,0.249,0.0,0.374,2851110912.0,13160448.0,1043238912.0,6362464256.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:03,13.233,0.749,85.393,0.0,0.0,0.624,2851844096.0,13160448.0,1043238912.0,6361731072.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:04,14.410,0.994,84.099,0.0,0.0,0.497,2852347904.0,13160448.0,1072410624.0,6332055552.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:05,5.006,1.252,92.866,0.0,0.0,0.876,2852569088.0,13160448.0,1072447488.0,6331797504.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:06,3.750,1.500,93.875,0.0,0.0,0.875,2852569088.0,13160448.0,1072447488.0,6331797504.0,0.0,30.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:07,4.863,0.873,93.392,0.499,0.0,0.374,2852560896.0,13168640.0,1072447488.0,6331797504.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:08,4.364,1.122,93.890,0.0,0.0,0.623,2853593088.0,13168640.0,1072447488.0,6330765312.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:09,4.277,1.006,94.591,0.0,0.0,0.126,2853593088.0,13168640.0,1072447488.0,6330765312.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:10,6.343,0.995,92.040,0.0,0.0,0.622,2853593088.0,13176832.0,1072439296.0,6330765312.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:11,13.625,1.125,84.750,0.0,0.0,0.500,2853822464.0,13176832.0,1072439296.0,6330535936.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:12,12.531,0.0,87.343,0.0,0.0,0.125,2853822464.0,13176832.0,1072439296.0,6330535936.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:13,12.843,1.372,84.788,0.499,0.0,0.499,2854436864.0,13185024.0,1097879552.0,6304473088.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:14,4.648,1.633,93.342,0.0,0.0,0.377,2854313984.0,13185024.0,1101615104.0,6300860416.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:15,4.762,1.003,93.860,0.0,0.0,0.376,2854313984.0,13185024.0,1101615104.0,6300860416.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:16,5.436,1.138,93.047,0.0,0.0,0.379,2854313984.0,13185024.0,1101615104.0,6300860416.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:17,5.772,1.380,92.597,0.0,0.0,0.251,2854313984.0,13185024.0,1101615104.0,6300860416.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:18,5.409,1.384,92.956,0.0,0.0,0.252,2854313984.0,13185024.0,1101615104.0,6300860416.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:19,4.906,1.761,92.453,0.503,0.0,0.377,2854313984.0,13193216.0,1101606912.0,6300860416.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:20,9.034,1.506,89.335,0.0,0.0,0.125,2854567936.0,13201408.0,1101598720.0,6300606464.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:21,16.497,3.680,79.442,0.0,0.0,0.381,2854719488.0,13205504.0,1101594624.0,6300454912.0,0.0,31.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:22,12.657,0.125,86.967,0.0,0.0,0.251,2854719488.0,13205504.0,1101594624.0,6300454912.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:23,13.693,1.005,85.176,0.0,0.0,0.126,2854719488.0,13205504.0,1101594624.0,6300454912.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:24,11.860,1.248,86.642,0.0,0.0,0.250,2855727104.0,13205504.0,1130778624.0,6270263296.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:25,5.473,1.990,92.040,0.0,0.0,0.498,2857275392.0,13205504.0,1130778624.0,6268715008.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:26,21.863,2.981,73.043,0.124,0.0,1.988,2891563008.0,13217792.0,1130766336.0,6234427392.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:27,3.518,1.508,94.598,0.0,0.0,0.377,2891563008.0,13217792.0,1130766336.0,6234427392.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:28,4.666,0.757,94.578,0.0,0.0,0.0,2891468800.0,13217792.0,1130766336.0,6234521600.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:29,4.125,1.250,94.500,0.0,0.0,0.125,2891468800.0,13217792.0,1130766336.0,6234521600.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:30,4.994,0.749,94.007,0.0,0.0,0.250,2891468800.0,13217792.0,1130766336.0,6234521600.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:31,8.543,1.759,88.945,0.251,0.0,0.503,2891722752.0,13230080.0,1130754048.0,6234267648.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:32,12.500,0.0,87.125,0.0,0.0,0.375,2891722752.0,13230080.0,1130754048.0,6234267648.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:33,13.308,0.746,84.577,0.0,0.0,1.368,2892742656.0,13230080.0,1130754048.0,6233247744.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:34,10.683,0.994,88.075,0.0,0.0,0.248,2892951552.0,13230080.0,1159938048.0,6203854848.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:35,4.025,1.258,94.214,0.0,0.0,0.503,2892914688.0,13230080.0,1159974912.0,6203854848.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:36,7.026,1.380,89.837,0.753,0.0,1.004,2918182912.0,13246464.0,1160101888.0,6178443264.0,1.0,84.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:37,4.141,1.004,94.605,0.0,0.0,0.251,2918428672.0,13246464.0,1160101888.0,6178197504.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:38,7.179,1.385,90.806,0.0,0.0,0.630,2919436288.0,13246464.0,1160101888.0,6177189888.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:39,4.380,1.001,94.493,0.0,0.0,0.125,2919436288.0,13246464.0,1160101888.0,6177189888.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:40,4.869,1.124,94.007,0.0,0.0,0.0,2919436288.0,13254656.0,1160093696.0,6177189888.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:41,14.357,1.124,84.020,0.0,0.0,0.499,2918395904.0,13254656.0,1160101888.0,6178222080.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:42,12.594,0.374,86.284,0.499,0.0,0.249,2918383616.0,13266944.0,1160101888.0,6178222080.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:43,12.484,1.124,85.643,0.0,0.0,0.749,2919661568.0,13266944.0,1177145344.0,6159900672.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:44,6.775,1.255,91.719,0.0,0.0,0.251,2920357888.0,13266944.0,1189339136.0,6147010560.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:45,8.0,1.500,90.0,0.0,0.0,0.500,2920615936.0,13266944.0,1189339136.0,6146752512.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:46,3.764,1.255,94.605,0.0,0.0,0.376,2920615936.0,13266944.0,1189339136.0,6146752512.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:47,3.909,1.009,95.082,0.0,0.0,0.0,2920615936.0,13266944.0,1189339136.0,6146752512.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:48,4.631,1.001,93.867,0.125,0.0,0.375,2920607744.0,13275136.0,1189339136.0,6146752512.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:49,3.657,1.387,94.704,0.0,0.0,0.252,2920607744.0,13275136.0,1189339136.0,6146752512.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:50,8.783,0.502,90.590,0.0,0.0,0.125,2920607744.0,13279232.0,1189335040.0,6146752512.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:51,15.511,2.018,82.093,0.0,0.0,0.378,2913890304.0,13279232.0,1189330944.0,6153474048.0,0.0,31.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:48:52,12.219,0.623,86.658,0.0,0.0,0.499,2913816576.0,13279232.0,1215713280.0,6127165440.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:53,10.227,2.525,86.742,0.0,0.0,0.505,2915282944.0,13279232.0,1218629632.0,6122782720.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:54,4.608,0.996,93.524,0.0,0.0,0.872,2915540992.0,13279232.0,1218629632.0,6122524672.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:55,4.887,1.128,93.484,0.0,0.0,0.501,2915540992.0,13279232.0,1218629632.0,6122524672.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:56,4.370,1.373,93.883,0.0,0.0,0.375,2915532800.0,13287424.0,1218629632.0,6122524672.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:57,4.282,0.756,94.962,0.0,0.0,0.0,2915532800.0,13287424.0,1218629632.0,6122524672.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:58,4.869,0.749,93.883,0.0,0.0,0.499,2915762176.0,13287424.0,1218629632.0,6122295296.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:48:59,6.750,1.0,92.125,0.0,0.0,0.125,2915762176.0,13295616.0,1218621440.0,6122295296.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:00,12.516,0.0,87.359,0.0,0.0,0.125,2915758080.0,13295616.0,1218625536.0,6122295296.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:01,14.643,1.126,83.855,0.0,0.0,0.375,2916528128.0,13303808.0,1218621440.0,6121521152.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:02,12.095,0.748,86.908,0.0,0.0,0.249,2916601856.0,13303808.0,1243836416.0,6096232448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:03,6.436,1.856,90.470,0.0,0.0,1.238,2916708352.0,13303808.0,1247858688.0,6092103680.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:04,9.158,1.609,88.366,0.0,0.0,0.866,2916708352.0,13303808.0,1247858688.0,6092103680.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:05,4.239,1.247,93.766,0.0,0.0,0.748,2916966400.0,13303808.0,1247858688.0,6091845632.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:06,4.282,1.259,94.207,0.0,0.0,0.252,2917199872.0,13303808.0,1247870976.0,6091599872.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:07,4.239,1.372,94.015,0.0,0.0,0.374,2917199872.0,13303808.0,1247870976.0,6091599872.0,0.0,27.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:08,4.261,1.003,94.361,0.125,0.0,0.251,2917191680.0,13312000.0,1247870976.0,6091599872.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:09,9.524,0.501,89.975,0.0,0.0,0.0,2917191680.0,13320192.0,1247862784.0,6091599872.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:10,12.531,0.125,87.343,0.0,0.0,0.0,2917191680.0,13320192.0,1247862784.0,6091599872.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:11,14.773,1.389,83.712,0.0,0.0,0.126,2917695488.0,13320192.0,1247862784.0,6091096064.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:12,12.390,0.501,87.109,0.0,0.0,0.0,2918739968.0,13320192.0,1262804992.0,6075109376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:13,8.081,2.020,89.141,0.0,0.0,0.758,2922024960.0,13328384.0,1277046784.0,6057574400.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:14,17.402,1.765,80.454,0.0,0.0,0.378,2922283008.0,13328384.0,1277046784.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:15,4.511,1.754,93.358,0.0,0.0,0.376,2922283008.0,13328384.0,1277046784.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:16,4.298,1.138,94.437,0.0,0.0,0.126,2922283008.0,13328384.0,1277046784.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:17,3.657,1.135,95.208,0.0,0.0,0.0,2922283008.0,13328384.0,1277046784.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:18,4.386,1.003,94.486,0.0,0.0,0.125,2922283008.0,13328384.0,1277046784.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:19,4.035,0.504,94.578,0.757,0.0,0.126,2922278912.0,13336576.0,1277042688.0,6057316352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:20,12.984,0.624,86.017,0.250,0.0,0.125,2922274816.0,13344768.0,1277038592.0,6057316352.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:21,15.394,2.628,81.602,0.0,0.0,0.375,2928214016.0,13344768.0,1277038592.0,6051377152.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:49:22,12.594,0.499,86.534,0.0,0.0,0.374,2928238592.0,13344768.0,1282174976.0,6046216192.0,0.0,55.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:49:23,10.176,2.010,87.060,0.0,0.0,0.754,2928930816.0,13344768.0,1306226688.0,6021472256.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:24,9.962,1.387,88.020,0.0,0.0,0.631,2929188864.0,13344768.0,1306226688.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:25,4.887,1.378,92.857,0.501,0.0,0.376,2929180672.0,13352960.0,1306226688.0,6021214208.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:26,3.904,1.511,94.332,0.0,0.0,0.252,2929180672.0,13352960.0,1306226688.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:27,3.769,1.131,94.849,0.0,0.0,0.251,2929180672.0,13352960.0,1306226688.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:28,4.261,1.003,94.486,0.0,0.0,0.251,2929180672.0,13352960.0,1306226688.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:29,4.750,0.875,94.0,0.0,0.0,0.375,2929180672.0,13352960.0,1306226688.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:30,10.599,0.374,88.653,0.0,0.0,0.374,2929180672.0,13361152.0,1306218496.0,6021214208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:31,13.892,1.377,84.481,0.0,0.0,0.250,2929180672.0,13369344.0,1306210304.0,6021214208.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:32,12.095,0.623,86.783,0.0,0.0,0.499,2929954816.0,13369344.0,1323487232.0,6003163136.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:33,11.055,1.759,86.432,0.0,0.0,0.754,2930434048.0,13369344.0,1335394304.0,5990776832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:34,3.904,1.385,94.207,0.0,0.0,0.504,2930434048.0,13369344.0,1335394304.0,5990776832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:35,5.263,0.627,93.358,0.0,0.0,0.752,2930692096.0,13369344.0,1335394304.0,5990518784.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:36,4.768,0.878,94.103,0.0,0.0,0.251,2930692096.0,13369344.0,1335394304.0,5990518784.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:37,4.391,1.255,93.726,0.502,0.0,0.125,2930446336.0,13377536.0,1335631872.0,5990518784.0,0.0,31.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:38,5.927,2.018,91.677,0.0,0.0,0.378,2927091712.0,13377536.0,1335631872.0,5993873408.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:39,9.710,0.252,90.038,0.0,0.0,0.0,2927091712.0,13385728.0,1335623680.0,5993873408.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:40,12.625,0.125,87.250,0.0,0.0,0.0,2927091712.0,13385728.0,1335623680.0,5993873408.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:41,13.784,1.128,84.837,0.0,0.0,0.251,2926268416.0,13385728.0,1342627840.0,5987692544.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:42,7.799,1.509,90.440,0.0,0.0,0.252,2927042560.0,13385728.0,1364807680.0,5964738560.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:43,7.547,2.138,88.805,0.503,0.0,1.006,2926972928.0,13393920.0,1364869120.0,5964738560.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:44,3.890,1.380,94.228,0.0,0.0,0.502,2926972928.0,13393920.0,1364869120.0,5964738560.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:45,4.397,1.508,93.970,0.0,0.0,0.126,2926972928.0,13393920.0,1364869120.0,5964738560.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:46,4.625,1.125,93.875,0.0,0.0,0.375,2927230976.0,13393920.0,1364869120.0,5964480512.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:47,3.535,1.263,94.823,0.0,0.0,0.379,2927489024.0,13393920.0,1364869120.0,5964222464.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:48,6.415,0.503,93.082,0.0,0.0,0.0,2927489024.0,13402112.0,1364860928.0,5964222464.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:49,12.500,0.125,87.375,0.0,0.0,0.0,2927489024.0,13402112.0,1364860928.0,5964222464.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:50,12.657,0.0,86.842,0.501,0.0,0.0,2927489024.0,13410304.0,1364852736.0,5964222464.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:51,12.673,3.011,83.312,0.0,0.0,1.004,2920534016.0,13410304.0,1394036736.0,5941993472.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:52,8.608,1.266,88.481,1.266,0.0,0.380,2920513536.0,13422592.0,1394065408.0,5941972992.0,3.0,84.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:49:53,5.583,2.109,91.067,0.0,0.0,1.241,2921025536.0,13422592.0,1394065408.0,5941460992.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
